league,source,display,note
P1,Academico Viseu,Académico de Viseu FC,
P1,Alverca,FC Alverca,
P1,Arouca,FC Arouca,
P1,Benfica,SL Benfica,
P1,Casa Pia,Casa Pia AC,
P1,Estoril,GD Estoril Praia,
P1,Estrela,CF Estrela da Amadora,
P1,Famalicao,FC Famalicão,
P1,Gil Vicente,Gil Vicente FC,
P1,Guimaraes,Vitória SC,Vitória de Guimarães; not to be confused with Vitória FC of Setúbal
P1,Maritimo,CS Marítimo,
P1,Moreirense,Moreirense FC,
P1,Nacional,CD Nacional,
P1,Porto,FC Porto,
P1,Rio Ave,Rio Ave FC,
P1,Santa Clara,CD Santa Clara,
P1,Sp Braga,SC Braga,
P1,Sp Lisbon,Sporting CP,
P1,AVS,AVS Futebol SAD,successor to the Aves SAD; kept separate from CD Aves above
P1,Aves,CD Aves,dissolved 2020
P1,Boavista,Boavista FC,
P1,Chaves,GD Chaves,
P1,Farense,SC Farense,
P1,Feirense,CD Feirense,
P1,Pacos Ferreira,FC Paços de Ferreira,
P1,Portimonense,Portimonense SC,
P1,Setubal,Vitória FC,Vitória de Setúbal; dissolved from the top flight 2020
P1,Tondela,CD Tondela,
P1,Vizela,FC Vizela,
