club,club_full,manager,start_date,start_precision,end_date,end_precision,caretaker,source_url,confidence,notes
Porto,FC Porto,Sérgio Conceição,2017-06-08,day,2024-06-04,day,false,https://en.wikipedia.org/wiki/List_of_FC_Porto_managers,high,season article gives 2024-05-24 for departure
Porto,FC Porto,Vítor Bruno,2024-06-06,day,2025-01-20,day,false,https://en.wikipedia.org/wiki/List_of_FC_Porto_managers,high,
Porto,FC Porto,José Tavares,2025-01-20,day,2025-01-27,day,true,https://en.wikipedia.org/wiki/List_of_FC_Porto_managers,high,
Porto,FC Porto,Martín Anselmi,2025-01-27,day,2025-07-01,day,false,https://en.wikipedia.org/wiki/List_of_FC_Porto_managers,high,
Porto,FC Porto,Francesco Farioli,2025-07-06,day,ongoing,,false,https://en.wikipedia.org/wiki/List_of_FC_Porto_managers,high,
Benfica,SL Benfica,Rui Vitória,2015-06-15,day,2019-01-02,day,false,https://en.wikipedia.org/wiki/List_of_S.L._Benfica_managers,high,list gives 2019-01-04; truncated to precede Lage
Benfica,SL Benfica,Bruno Lage,2019-01-03,day,2020-06-29,day,false,https://en.wikipedia.org/wiki/2018%E2%80%9319_Primeira_Liga#Managerial_changes,high,
Benfica,SL Benfica,Nélson Veríssimo,2020-06-30,day,2020-08-01,day,true,https://en.wikipedia.org/wiki/List_of_S.L._Benfica_managers,high,
Benfica,SL Benfica,Jorge Jesus,2020-08-03,day,2021-12-28,day,false,https://en.wikipedia.org/wiki/List_of_S.L._Benfica_managers,high,
Benfica,SL Benfica,Nélson Veríssimo,2021-12-28,day,2022-05-13,day,true,https://en.wikipedia.org/wiki/List_of_S.L._Benfica_managers,high,season article gives 2022-05-15
Benfica,SL Benfica,Roger Schmidt,2022-05-18,day,2024-08-31,day,false,https://en.wikipedia.org/wiki/List_of_S.L._Benfica_managers,high,"season article gives 2022-06-01 start, 2024-09-01 end"
Benfica,SL Benfica,Bruno Lage,2024-09-05,day,2025-09-17,day,false,https://en.wikipedia.org/wiki/List_of_S.L._Benfica_managers,high,
Benfica,SL Benfica,José Mourinho,2025-09-18,day,2026-06-09,day,false,https://en.wikipedia.org/wiki/List_of_S.L._Benfica_managers,high,
Benfica,SL Benfica,Marco Silva,2026-06-09,day,ongoing,,false,https://en.wikipedia.org/wiki/List_of_S.L._Benfica_managers,high,
Sp Lisbon,Sporting CP,Jorge Jesus,2015-06-05,day,2018-06-05,day,false,https://en.wikipedia.org/wiki/List_of_Sporting_CP_managers,high,
Sp Lisbon,Sporting CP,Siniša Mihajlović,2018-06-18,day,2018-06-28,day,false,https://en.wikipedia.org/wiki/2018%E2%80%9319_Primeira_Liga#Managerial_changes,high,appointed and dismissed without a competitive match
Sp Lisbon,Sporting CP,José Peseiro,2018-07-01,day,2018-11-01,day,false,https://en.wikipedia.org/wiki/List_of_Sporting_CP_managers,high,
Sp Lisbon,Sporting CP,Tiago Fernandes,2018-11-02,day,2018-11-11,day,true,https://en.wikipedia.org/wiki/List_of_Sporting_CP_managers,high,
Sp Lisbon,Sporting CP,Marcel Keizer,2018-11-12,day,2019-09-05,day,false,https://en.wikipedia.org/wiki/List_of_Sporting_CP_managers,high,
Sp Lisbon,Sporting CP,Leonel Pontes,2019-09-05,day,2019-09-26,day,true,https://en.wikipedia.org/wiki/List_of_Sporting_CP_managers,high,
Sp Lisbon,Sporting CP,Silas,2019-09-27,day,2020-03-03,day,false,https://en.wikipedia.org/wiki/List_of_Sporting_CP_managers,high,truncated to precede Amorim
Sp Lisbon,Sporting CP,Ruben Amorim,2020-03-04,day,2024-11-10,day,false,https://en.wikipedia.org/wiki/Ruben_Amorim,high,season article gives 2020-03-05
Sp Lisbon,Sporting CP,João Pereira,2024-11-11,day,2024-12-26,day,false,https://en.wikipedia.org/wiki/List_of_Sporting_CP_managers,high,
Sp Lisbon,Sporting CP,Rui Borges,2024-12-26,day,ongoing,,false,"https://en.wikipedia.org/wiki/Rui_Borges_(footballer,_born_1981)",high,club list stale; confirmed from manager page
Sp Braga,SC Braga,Abel Ferreira,2017-04-26,day,2019-07-01,day,false,https://en.wikipedia.org/wiki/Abel_Ferreira,high,
