season_start,date,home,away,home_goals,away_goals,referee,referee_id
2017,2017-08-06,Aves,Sp Lisbon,0,2,Tiago Martins,5170
2017,2017-08-06,Setubal,Moreirense,1,1,Goncalo Martins,5162
2017,2017-08-07,Feirense,Tondela,1,1,Bruno Paixao,10
2017,2017-08-07,Portimonense,Boavista,2,1,Nuno Almeida,28
2017,2017-08-07,Rio Ave,Belenenses,1,0,Fabio Verissimo,5166
2017,2017-08-08,Maritimo,Pacos Ferreira,1,0,Manuel Oliveira,5138
2017,2017-08-09,Benfica,Sp Braga,3,1,Carlos Xistra,11
2017,2017-08-09,Porto,Estoril,4,0,Hugo Miguel,281
2017,2017-08-10,Guimaraes,Chaves,3,2,Luis Godinho,5401
2017,2017-08-11,Sp Lisbon,Setubal,1,0,Bruno Paixao,10
2017,2017-08-12,Belenenses,Maritimo,1,0,Joao Pinheiro,5157
2017,2017-08-12,Boavista,Rio Ave,1,2,Luis Ferreira,5174
2017,2017-08-12,Moreirense,Feirense,0,0,Nuno Almeida,28
2017,2017-08-13,Tondela,Porto,0,1,Fabio Verissimo,5166
2017,2017-08-13,Pacos Ferreira,Aves,2,2,Rui Oliveira,5300
2017,2017-08-13,Sp Braga,Portimonense,2,1,Joao Capela,201
2017,2017-08-14,Estoril,Guimaraes,3,0,Carlos Xistra,11
2017,2017-08-14,Chaves,Benfica,0,1,Jorge Sousa,15
2017,2017-08-18,Rio Ave,Portimonense,2,0,Joao Pinheiro,5157
2017,2017-08-19,Benfica,Belenenses,5,0,Rui Costa,31
2017,2017-08-19,Tondela,Estoril,2,3,Antonio Nobre,5458
2017,2017-08-19,Guimaraes,Sp Lisbon,0,5,Hugo Miguel,281
2017,2017-08-20,Aves,Sp Braga,0,2,Fabio Verissimo,5166
2017,2017-08-20,Porto,Moreirense,3,0,Manuel Oliveira,5138
2017,2017-08-20,Maritimo,Boavista,1,0,Luis Godinho,5401
2017,2017-08-20,Setubal,Chaves,1,1,Manuel Mota,3038
2017,2017-08-21,Feirense,Pacos Ferreira,2,1,Carlos Xistra,11
2017,2017-08-25,Belenenses,Setubal,1,1,Manuel Oliveira,5138
2017,2017-08-26,Chaves,Feirense,0,2,Luis Ferreira,5174
2017,2017-08-26,Moreirense,Tondela,0,3,Bruno Esteves,1579
2017,2017-08-26,Pacos Ferreira,Guimaraes,0,0,Nuno Almeida,28
2017,2017-08-26,Rio Ave,Benfica,1,1,Hugo Miguel,281
2017,2017-08-27,Boavista,Aves,1,0,Joao Capela,201
2017,2017-08-27,Sp Braga,Porto,0,1,Carlos Xistra,11
2017,2017-08-27,Sp Lisbon,Estoril,2,1,Luis Godinho,5401
2017,2017-08-28,Portimonense,Maritimo,1,2,Vitor Ferreira,9379
2017,2017-09-08,Benfica,Portimonense,2,1,Goncalo Martins,5162
2017,2017-09-08,Feirense,Sp Lisbon,2,3,Artur Soares Dias,96
2017,2017-09-09,Tondela,Pacos Ferreira,2,2,Manuel Mota,3038
2017,2017-09-09,Porto,Chaves,3,0,Rui Oliveira,5300
2017,2017-09-09,Maritimo,Rio Ave,1,0,Bruno Esteves,1579
2017,2017-09-10,Estoril,Moreirense,0,2,Joao Capela,201
2017,2017-09-10,Setubal,Sp Braga,2,0,Luis Ferreira,5174
2017,2017-09-10,Guimaraes,Boavista,1,0,Jorge Sousa,15
2017,2017-09-11,Aves,Belenenses,2,1,Joao Pinheiro,5157
2017,2017-09-15,Pacos Ferreira,Setubal,1,0,Vitor Ferreira,9379
2017,2017-09-16,Boavista,Benfica,2,1,Artur Soares Dias,96
2017,2017-09-16,Maritimo,Aves,2,1,Carlos Xistra,11
2017,2017-09-16,Sp Lisbon,Tondela,2,0,Manuel Oliveira,5138
2017,2017-09-17,Belenenses,Estoril,2,1,Nuno Almeida,28
2017,2017-09-17,Rio Ave,Porto,1,2,Jorge Sousa,15
2017,2017-09-17,Sp Braga,Guimaraes,2,1,Rui Costa,31
2017,2017-09-18,Chaves,Moreirense,3,0,Joao Pinheiro,5157
2017,2017-09-18,Portimonense,Feirense,2,1,Bruno Paixao,10
2017,2017-09-22,Porto,Portimonense,5,2,Luis Ferreira,5174
2017,2017-09-23,Benfica,Pacos Ferreira,2,0,Carlos Xistra,11
2017,2017-09-23,Estoril,Chaves,0,2,Artur Soares Dias,96
2017,2017-09-23,Moreirense,Sp Lisbon,1,1,Luis Godinho,5401
2017,2017-09-24,Aves,Rio Ave,0,0,Antonio Nobre,5458
2017,2017-09-24,Tondela,Sp Braga,1,2,Tiago Martins,5170
2017,2017-09-24,Feirense,Belenenses,1,4,Bruno Esteves,1579
2017,2017-09-24,Guimaraes,Maritimo,2,1,Fabio Verissimo,5166
2017,2017-09-25,Setubal,Boavista,1,1,Nuno Almeida,28
2017,2017-09-29,Chaves,Tondela,1,1,Bruno Paixao,10
2017,2017-09-30,Boavista,Feirense,1,0,Manuel Mota,3038
2017,2017-09-30,Pacos Ferreira,Moreirense,3,2,Goncalo Martins,5162
2017,2017-09-30,Portimonense,Aves,2,2,Tiago Martins,5170
2017,2017-09-30,Rio Ave,Setubal,2,1,Rui Costa,31
2017,2017-10-01,Belenenses,Guimaraes,1,0,Vasco Santos,283
2017,2017-10-01,Maritimo,Benfica,1,1,Jorge Sousa,15
2017,2017-10-01,Sp Braga,Estoril,6,0,Helder Malheiro,3046
2017,2017-10-01,Sp Lisbon,Porto,0,0,Carlos Xistra,11
2017,2017-10-20,Estoril,Boavista,0,3,Tiago Martins,5170
2017,2017-10-21,Porto,Pacos Ferreira,6,1,Manuel Oliveira,5138
2017,2017-10-21,Feirense,Rio Ave,1,0,Rui Oliveira,5300
2017,2017-10-21,Setubal,Maritimo,3,1,Vasco Santos,283
2017,2017-10-22,Aves,Benfica,1,3,Nuno Almeida,28
2017,2017-10-22,Tondela,Belenenses,2,0,Goncalo Martins,5162
2017,2017-10-22,Sp Lisbon,Chaves,5,1,Rui Costa,31
2017,2017-10-23,Moreirense,Sp Braga,0,1,Jorge Sousa,15
2017,2017-10-23,Guimaraes,Portimonense,3,3,Helder Malheiro,3046
2017,2017-10-27,Benfica,Feirense,1,0,Luis Godinho,5401
2017,2017-10-27,Rio Ave,Sp Lisbon,0,1,Jorge Sousa,15
2017,2017-10-28,Belenenses,Moreirense,3,0,Joao Pinheiro,5157
2017,2017-10-28,Boavista,Porto,0,3,Hugo Miguel,281
2017,2017-10-28,Maritimo,Tondela,2,0,Helder Malheiro,3046
2017,2017-10-29,Aves,Guimaraes,1,3,Luis Ferreira,5174
2017,2017-10-29,Pacos Ferreira,Estoril,1,0,Fabio Verissimo,5166
2017,2017-10-29,Sp Braga,Chaves,1,0,Bruno Esteves,1579
2017,2017-10-30,Portimonense,Setubal,5,2,Antonio Nobre,5458
2017,2017-11-03,Setubal,Aves,0,1,Manuel Mota,3038
2017,2017-11-04,Tondela,Boavista,3,2,Joao Pinheiro,5157
2017,2017-11-04,Estoril,Rio Ave,0,2,Vitor Ferreira,9379
2017,2017-11-04,Porto,Belenenses,2,0,Fabio Verissimo,5166
2017,2017-11-04,Moreirense,Portimonense,1,1,Bruno Esteves,1579
2017,2017-11-05,Feirense,Maritimo,0,1,Hugo Miguel,281
2017,2017-11-05,Chaves,Pacos Ferreira,4,2,Vasco Santos,283
2017,2017-11-05,Sp Lisbon,Sp Braga,2,2,Carlos Xistra,11
2017,2017-11-05,Guimaraes,Benfica,1,3,Artur Soares Dias,96
2017,2017-11-24,Belenenses,Chaves,0,1,Joao Capela,201
2017,2017-11-25,Boavista,Moreirense,1,0,Fabio Verissimo,5166
2017,2017-11-25,Aves,Porto,1,1,Rui Costa,31
2017,2017-11-25,Portimonense,Tondela,2,0,Manuel Mota,3038
2017,2017-11-26,Benfica,Setubal,6,0,Luis Godinho,5401
2017,2017-11-26,Maritimo,Estoril,0,0,Rui Oliveira,5300
2017,2017-11-26,Pacos Ferreira,Sp Lisbon,1,2,Tiago Martins,5170
2017,2017-11-27,Rio Ave,Guimaraes,0,1,Manuel Oliveira,5138
2017,2017-11-27,Sp Braga,Feirense,3,1,Vasco Santos,283
2017,2017-12-01,Porto,Benfica,0,0,Jorge Sousa,15
2017,2017-12-01,Sp Lisbon,Belenenses,1,0,Nuno Almeida,28
2017,2017-12-02,Tondela,Rio Ave,1,3,Bruno Esteves,1579
2017,2017-12-02,Chaves,Boavista,0,0,Manuel Mota,3038
2017,2017-12-02,Moreirense,Maritimo,1,1,Tiago Martins,5170
2017,2017-12-03,Sp Braga,Pacos Ferreira,3,0,Rui Oliveira,5300
2017,2017-12-03,Setubal,Guimaraes,1,2,Vasco Santos,283
2017,2017-12-04,Estoril,Portimonense,0,0,Bruno Paixao,10
2017,2017-12-08,Rio Ave,Moreirense,2,1,Luis Ferreira,5174
2017,2017-12-09,Benfica,Estoril,3,1,Joao Pinheiro,5157
2017,2017-12-09,Boavista,Sp Lisbon,1,3,Luis Godinho,5401
2017,2017-12-09,Aves,Tondela,0,1,Goncalo Martins,5162
2017,2017-12-10,Belenenses,Pacos Ferreira,1,1,Helder Malheiro,3046
2017,2017-12-10,Portimonense,Chaves,0,1,Fabio Verissimo,5166
2017,2017-12-10,Setubal,Porto,0,5,Tiago Martins,5170
2017,2017-12-11,Maritimo,Sp Braga,1,0,Rui Costa,31
2017,2017-12-11,Guimaraes,Feirense,1,0,Joao Capela,201
2017,2017-12-15,Pacos Ferreira,Boavista,1,2,Vasco Santos,283
2017,2017-12-16,Estoril,Aves,3,2,Vitor Ferreira,9379
2017,2017-12-16,Sp Braga,Belenenses,4,0,Hugo Miguel,281
2017,2017-12-17,Tondela,Benfica,1,5,Tiago Martins,5170
2017,2017-12-17,Feirense,Setubal,1,0,Joao Pinheiro,5157
2017,2017-12-17,Chaves,Rio Ave,1,1,Bruno Paixao,10
2017,2017-12-17,Sp Lisbon,Portimonense,2,0,Joao Capela,201
2017,2017-12-18,Porto,Maritimo,3,1,Manuel Mota,3038
2017,2017-12-18,Moreirense,Guimaraes,2,1,Nuno Almeida,28
2017,2017-12-23,Guimaraes,Tondela,0,1,Antonio Nobre,5458
2017,2018-01-03,Benfica,Sp Lisbon,1,1,Hugo Miguel,281
2017,2018-01-03,Boavista,Sp Braga,1,3,Jorge Sousa,15
2017,2018-01-03,Aves,Moreirense,1,2,Bruno Esteves,1579
2017,2018-01-03,Feirense,Porto,1,2,Fabio Verissimo,5166
2017,2018-01-03,Maritimo,Chaves,1,2,Manuel Oliveira,5138
2017,2018-01-03,Rio Ave,Pacos Ferreira,4,2,Luis Godinho,5401
2017,2018-01-04,Portimonense,Belenenses,0,0,Artur Soares Dias,96
2017,2018-01-04,Setubal,Estoril,2,2,Helder Malheiro,3046
2017,2018-01-06,Sp Braga,Rio Ave,2,1,Vasco Santos,283
2017,2018-01-07,Porto,Guimaraes,4,2,Artur Soares Dias,96
2017,2018-01-07,Chaves,Aves,1,1,Joao Capela,201
2017,2018-01-07,Moreirense,Benfica,0,2,Manuel Mota,3038
2017,2018-01-07,Sp Lisbon,Maritimo,5,0,Carlos Xistra,11
2017,2018-01-08,Estoril,Feirense,0,2,Nuno Almeida,28
2017,2018-01-08,Pacos Ferreira,Portimonense,1,1,Luis Ferreira,5174
2017,2018-01-09,Belenenses,Boavista,1,1,Goncalo Martins,5162
2017,2018-01-09,Tondela,Setubal,1,1,Rui Oliveira,5300
2017,2018-01-12,Chaves,Guimaraes,4,3,Tiago Martins,5170
2017,2018-01-13,Pacos Ferreira,Maritimo,0,0,Manuel Mota,3038
2017,2018-01-13,Sp Braga,Benfica,1,3,Artur Soares Dias,96
2017,2018-01-14,Belenenses,Rio Ave,1,2,Vitor Ferreira,9379
2017,2018-01-14,Boavista,Portimonense,2,0,Rui Oliveira,5300
